Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
XTZ,2019-03-22,0.7126,0.7474,0.8251,0.683
XTZ,2019-03-23,0.6695,0.7126,0.7297,0.6624
XTZ,2019-03-24,0.6819,0.6695,0.7382,0.656
XTZ,2019-03-25,0.659,0.6819,0.6868,0.6446
XTZ,2019-03-26,0.7223,0.659,0.75,0.659
XTZ,2019-03-27,0.783,0.7223,0.81,0.71
XTZ,2019-03-28,0.8739,0.783,0.95,0.78
XTZ,2019-03-29,0.9399,0.8739,0.94,0.8614
XTZ,2019-03-30,1.055,0.9399,1.16,0.9285
XTZ,2019-03-31,0.9846,1.055,1.078,0.958
XTZ,2019-04-01,1.021,0.9846,1.03,0.9102
XTZ,2019-04-02,0.95,1.021,1.05,0.9103
XTZ,2019-04-03,0.85,0.95,1.03,0.82
XTZ,2019-04-04,1.026,0.85,1.05,0.848
XTZ,2019-04-05,0.96,1.026,1.026,0.9577
XTZ,2019-04-06,0.9702,0.96,0.9949,0.9573
XTZ,2019-04-07,0.919,0.9702,0.9938,0.9067
XTZ,2019-04-08,0.9416,0.919,0.99,0.89
XTZ,2019-04-09,1.02,0.9416,1.02,0.936
XTZ,2019-04-10,0.9303,1.02,1.02,0.9107
XTZ,2019-04-11,0.9769,0.9303,0.9769,0.9183
XTZ,2019-04-12,0.98,0.9769,0.9886,0.9554
XTZ,2019-04-13,1.136,0.98,1.188,0.9545
XTZ,2019-04-14,1.105,1.136,1.198,1.033
XTZ,2019-04-15,1.135,1.105,1.18,1.026
XTZ,2019-04-16,1.27,1.135,1.27,1.135
XTZ,2019-04-17,1.373,1.27,1.47,1.266
XTZ,2019-04-18,1.38,1.373,1.485,1.275
XTZ,2019-04-19,1.343,1.38,1.402,1.32
XTZ,2019-04-20,1.331,1.343,1.387,1.3
XTZ,2019-04-21,1.36,1.331,1.368,1.304
XTZ,2019-04-22,1.471,1.36,1.49,1.36
XTZ,2019-04-23,1.235,1.471,1.471,1.17
XTZ,2019-04-24,1.1,1.235,1.267,1.067
XTZ,2019-04-25,1.13,1.1,1.147,0.9863
XTZ,2019-04-26,1.192,1.13,1.246,1.128
XTZ,2019-04-27,1.143,1.192,1.217,1.138
XTZ,2019-04-28,1.131,1.143,1.166,1.043
XTZ,2019-04-29,1.2,1.131,1.21,1.11
XTZ,2019-04-30,1.179,1.2,1.228,1.167
XTZ,2019-05-01,1.276,1.179,1.29,1.175
XTZ,2019-05-02,1.28,1.276,1.299,1.229
XTZ,2019-05-03,1.201,1.28,1.289,1.128
XTZ,2019-05-04,1.142,1.201,1.201,1.133
XTZ,2019-05-05,1.23,1.142,1.265,1.12
XTZ,2019-05-06,1.205,1.23,1.289,1.183
XTZ,2019-05-07,1.165,1.205,1.22,1.135
XTZ,2019-05-08,1.096,1.165,1.22,1.069
XTZ,2019-05-09,1.117,1.096,1.165,1.07
XTZ,2019-05-10,1.27,1.117,1.362,1.101
XTZ,2019-05-11,1.231,1.27,1.349,1.2
XTZ,2019-05-12,1.316,1.231,1.389,1.214
XTZ,2019-05-13,1.505,1.316,1.505,1.301
XTZ,2019-05-14,1.79,1.505,1.799,1.5
XTZ,2019-05-15,1.711,1.79,1.94,1.608
XTZ,2019-05-16,1.669,1.711,1.8,1.518
XTZ,2019-05-17,1.641,1.669,1.747,1.599
XTZ,2019-05-18,1.859,1.641,1.881,1.633
XTZ,2019-05-19,1.661,1.859,1.859,1.634
XTZ,2019-05-20,1.671,1.661,1.7,1.639
XTZ,2019-05-21,1.554,1.671,1.68,1.55
XTZ,2019-05-22,1.627,1.554,1.639,1.45
XTZ,2019-05-23,1.588,1.627,1.713,1.563
XTZ,2019-05-24,1.575,1.588,1.63,1.541
XTZ,2019-05-25,1.676,1.575,1.729,1.505
XTZ,2019-05-26,1.637,1.676,1.729,1.611
XTZ,2019-05-27,1.586,1.637,1.648,1.57
XTZ,2019-05-28,1.573,1.586,1.605,1.55
XTZ,2019-05-29,1.497,1.573,1.695,1.39
XTZ,2019-05-30,1.519,1.497,1.534,1.417
XTZ,2019-05-31,1.482,1.519,1.53,1.453
XTZ,2019-06-01,1.525,1.482,1.582,1.479
XTZ,2019-06-02,1.37,1.525,1.525,1.35
XTZ,2019-06-03,1.215,1.37,1.385,1.145
