Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
ETH,2018-08-11,327.1062374846,326.535115379,327.283285106,304.572445571
ETH,2018-08-12,319.3901245526,327.1174434097,330.0925971568,313.8438955295
ETH,2018-08-13,283.9345146854,319.3901284918,322.0859351153,280.9548712534
ETH,2018-08-14,266.2161520793,283.6826055618,285.4564463441,250.4081599499
ETH,2018-08-15,286.4645935164,278.3864111981,305.0471730359,277.6366248671
ETH,2018-08-16,285.2719982465,286.4643642768,298.5543095989,277.1662898183
ETH,2018-08-17,315.4903177433,285.9719954091,317.9791867984,283.0428734058
ETH,2018-08-18,295.2530912283,315.1321628593,321.4708061093,281.3943864609
ETH,2018-08-19,301.369062807,294.1802386622,306.9553313407,288.7779957608
ETH,2018-08-20,273.7707154622,301.3690675692,304.0556763092,269.8468445042
ETH,2018-08-21,280.3396657577,270.5603643117,285.7924613214,269.7605038165
ETH,2018-08-22,269.0130144456,280.339917029,298.5367675475,260.0258162942
ETH,2018-08-23,275.1806303558,270.7733758237,279.9958887958,268.2458537011
ETH,2018-08-24,280.5280263337,276.1890060055,282.8764550478,270.035418463
ETH,2018-08-25,278.8828360468,280.8073669508,282.4929599143,276.1754225666
ETH,2018-08-26,273.4441078889,278.8829999265,280.5472333696,269.3220047996
ETH,2018-08-27,280.0060814172,274.3541913242,280.0060814172,271.5359030788
ETH,2018-08-28,296.4874528751,279.9886660018,296.7295968824,279.9886660018
ETH,2018-08-29,290.7130769489,295.5506916833,297.3731180132,284.1048102448
ETH,2018-08-30,283.753376258,288.7171022226,290.8270860666,272.4200433601
ETH,2018-08-31,282.2526879744,283.7534621516,285.0744296812,276.7690786605
ETH,2018-09-01,295.2665416207,282.2526879321,302.009939631,281.3777365685
ETH,2018-09-02,293.115463367,295.2664415573,299.1322692715,289.5806111151
ETH,2018-09-03,288.8294570765,293.0773285691,296.4932233907,286.0083272268
ETH,2018-09-04,285.701705775,288.9910976683,292.5939912725,282.8331277894
ETH,2018-09-05,241.4980125068,285.4250730045,287.9016066191,238.9544646166
ETH,2018-09-06,227.103072334,241.4886514756,243.4368212007,211.0868128784
ETH,2018-09-07,215.9792155064,229.7747614775,234.5960754046,213.7322235039
ETH,2018-09-08,194.9635634125,215.9775888366,219.9909919087,190.0956062616
ETH,2018-09-09,194.5894182182,196.9580660214,208.6922787044,185.203527345
ETH,2018-09-10,192.4379873364,194.5893824953,203.0866045199,187.0485448604
ETH,2018-09-11,191.7467556707,192.4440646133,192.6320088172,191.3404578492
ETH,2018-09-12,191.5202628749,191.7384359959,191.7920568811,190.4048233526
ETH,2018-09-13,193.7431873729,191.4901793498,194.0032521113,191.4901793498
ETH,2018-09-14,194.4848771556,193.7433015589,195.5338958974,193.3505957964
ETH,2018-09-15,194.1911408347,193.8285289936,194.7910031179,193.6088107276
ETH,2018-09-16,193.7440122019,194.0915120575,194.4076603852,193.2319441534
ETH,2018-09-17,192.535807699,193.7440971106,194.0707182371,192.2313845999
ETH,2018-09-18,193.4390728514,192.5358475845,194.3054535304,192.4358596646
ETH,2018-09-19,193.3880219311,193.2698534237,193.6527720668,192.5314642223
ETH,2018-09-20,194.2575300223,193.3467238287,194.3634679608,192.7545791236
ETH,2018-09-21,198.1301306828,194.2575299628,199.6141855497,194.1917548042
ETH,2018-09-22,194.3920142082,198.129660364,198.4049979494,194.3672840041
ETH,2018-09-23,194.4580940691,194.3920119693,194.6215500737,194.1798966526
ETH,2018-09-24,221.7447446566,194.4575893092,237.2780841927,193.9770359804
ETH,2018-09-25,209.3312467026,221.7448637836,222.3515859087,203.8025954908
ETH,2018-09-26,217.8791005664,209.330909643,222.7647469506,208.5145619004
ETH,2018-09-27,228.9911605358,217.879163111,233.9762069527,210.1777074496
ETH,2018-09-28,217.3480244747,228.9820056416,233.9563622658,215.418656151
ETH,2018-09-29,231.3067010223,217.3483147307,237.6593973673,213.9182590785
ETH,2018-09-30,232.9504450301,231.3066380331,238.6778134049,226.8280979095
ETH,2018-10-01,230.3961794521,233.0073175406,233.5313864718,225.025497853
ETH,2018-10-02,227.7244628763,226.5259802475,228.5818862766,226.1335539277
ETH,2018-10-03,219.0852600209,227.9781047614,227.9788672504,216.5124149507
ETH,2018-10-04,222.7394807648,220.5890442713,227.2909011319,219.8262210351
ETH,2018-10-05,227.740911833,222.7395490812,231.5448591467,219.7397997727
ETH,2018-10-06,225.0935628821,227.8181831497,229.3727101061,223.3643157375
ETH,2018-10-07,224.7099626862,225.0935561249,226.3567550747,221.9933440395
ETH,2018-10-08,229.6834779016,226.1428229427,231.6071981781,224.193541353
ETH,2018-10-09,228.6631765361,229.6834779041,230.5776104251,226.5198154383
ETH,2018-10-10,226.0829829736,228.6629829801,228.8487381703,224.2000094725
ETH,2018-10-11,198.9386008259,226.5722951704,226.6335246688,195.9653566323
ETH,2018-10-12,197.1067154738,198.9379829245,201.2919165115,188.8850137092
ETH,2018-10-13,201.4179528267,197.1065619285,202.6971152436,196.3478207127
ETH,2018-10-14,199.7879795361,201.3367069532,203.5854254351,198.1387234243
ETH,2018-10-15,213.3377842254,196.9117634144,238.7821940729,194.6728248958
ETH,2018-10-16,213.212611546,213.3378687809,219.6303881466,211.512737749
ETH,2018-10-17,203.7579404891,213.2124229494,216.8762491326,202.9240180809
ETH,2018-10-18,198.4931996542,203.8031121459,206.652964353,196.8088499642
ETH,2018-10-19,200.2083265588,198.4931996943,202.0361442234,197.0239431426
ETH,2018-10-20,202.7111077166,199.795004228,204.5144032065,198.7751064627
ETH,2018-10-21,201.969763153,202.3706867172,205.5107637233,201.8536654146
ETH,2018-10-22,200.9975754034,201.9697943915,203.0402448123,199.4490051208
ETH,2018-10-23,201.1292118212,201.0158811127,202.4940837709,197.7702609521
ETH,2018-10-24,200.4194894172,201.1425450396,202.3503080616,200.3892188811
ETH,2018-10-25,200.2399670654,200.5464758419,200.9603910417,198.3299212808
ETH,2018-10-26,200.1886815713,200.2124856931,204.3263485043,198.7070196478
ETH,2018-10-27,202.2917698774,200.2105250213,202.4524760504,200.0066510443
ETH,2018-10-28,202.7953464587,202.4160163127,203.5713610735,201.4898074293
